organism,contig_taxa
day0_DO_0_env_cell_control_000000196695,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000197095,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000197259,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000197459,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000197663,S_Chlorobium phaeovibrioides
day0_DO_0_env_cell_control_000000198402,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000199574,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000199686,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000200814,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000201159,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000202448,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000202455,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000202843,S_Chlorobium phaeovibrioides
day0_DO_0_env_cell_control_000000203169,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000204124,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000205231,NR_unclassified Synechococcus
day0_DO_0_env_cell_control_000000205310,NR_unclassified Synechococcus
