organism,MAG,12C,13C,GC,shift,M_light,M_HeavyMax,M_Lab,EAF,MAG_taxa_combined,contig_taxa,taxa
day0_DO_0_env_cell_control_000000006515,day0-DO-0-env-cell-control_bin_22,1.707783345593052,1.708657173503176,0.6157,0.0008738279101239144,307.99638719999996,317.66388424725994,308.15398086669495,0.01612024633707417,G_JADHUC01 (NCBI: F_Pirellulaceae),,G_JADHUC01 (NCBI: F_Pirellulaceae)
day0_DO_0_env_cell_control_000000007045,,,,,,,,,,,ST_Desulfocapsa sulfexigens DSM 10523,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000007190,day0-DO-0-env-cell-control_bin_19,1.6965187031032658,1.6943852447645962,0.4106,-0.002133458338669625,307.89465759999996,317.66444380108,307.5074644476421,-0.0391912910266931,G_B137-G9 (NCBI: P_Candidatus Cloacimonetes),,G_B137-G9 (NCBI: P_Candidatus Cloacimonetes)
day0_DO_0_env_cell_control_000000007397,,,,,,,,,,,S_Chlorobium phaeovibrioides,S_Chlorobium phaeovibrioides
day0_DO_0_env_cell_control_000000007972,day0-DO-0-env-cell-control_bin_73,1.7010116423677129,1.6995903660035063,0.49520000000000003,-0.0014212763642065251,307.9366192,317.66421299536,307.67932346630744,-0.026156168107424358,G_SpSt-1165 (NCBI: C_Anaerolineae),,G_SpSt-1165 (NCBI: C_Anaerolineae)
day0_DO_0_env_cell_control_000000007990,,,,,,,,,,,ST_Desulfocapsa sulfexigens DSM 10523,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000008094,day0-DO-0-env-cell-control_bin_61,1.6995479535741005,1.6972093824943926,0.40979999999999994,-0.0023385710797079184,307.8942608,317.66444598364,307.470599547959,-0.0428808032320215,G_S5133MH16 (NCBI: C_Deltaproteobacteria),,G_S5133MH16 (NCBI: C_Deltaproteobacteria)
day0_DO_0_env_cell_control_000000008130,day0-DO-0-env-cell-control_bin_61,1.6994123475907699,1.696345295793867,0.4376,-0.00306705179690292,307.90804959999997,317.66437013968,307.35234577794324,-0.05632540009000107,G_S5133MH16 (NCBI: C_Deltaproteobacteria),,G_S5133MH16 (NCBI: C_Deltaproteobacteria)
day0_DO_0_env_cell_control_000000008408,day0-DO-0-env-cell-control_bin_73,1.700238563640692,1.6983462505647755,0.4672,-0.0018923130759165296,307.9227312,317.66428938496,307.58002269833304,-0.03478911743563234,G_SpSt-1165 (NCBI: C_Anaerolineae),,G_SpSt-1165 (NCBI: C_Anaerolineae)
day0_DO_0_env_cell_control_000000008830,,,,,,,,,,,NR_unclassified Synechococcus,NR_Synechococcus
day0_DO_0_env_cell_control_000000009031,day0-DO-0-env-cell-control_bin_59,1.69565175165538,1.692340465449544,0.3457,-0.0033112862058359838,307.86246719999997,317.66462086125995,307.2612702030702,-0.06065159943926793,G_1-14-0-20-35-14 (NCBI: P_Candidatus Liptonbacteria),,G_1-14-0-20-35-14 (NCBI: P_Candidatus Liptonbacteria)
day0_DO_0_env_cell_control_000000009314,,,,,,,,,,,SK_Bacteria,SK_Bacteria
day0_DO_0_env_cell_control_000000009325,,,,,,,,,,,ST_Desulfocapsa sulfexigens DSM 10523,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000009416,,,,,,,,,,,NR_unclassified Synechococcus,NR_Synechococcus
day0_DO_0_env_cell_control_000000010014,,,,,,,,,,,ST_Desulfocapsa sulfexigens DSM 10523,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000010138,day0-DO-0-env-cell-control_bin_61,1.6995066767937081,1.6981070861162861,0.44630000000000003,-0.0013995906774220135,307.9123648,317.66434640434,307.65879046509355,-0.025713392763766548,G_S5133MH16 (NCBI: C_Deltaproteobacteria),,G_S5133MH16 (NCBI: C_Deltaproteobacteria)
day0_DO_0_env_cell_control_000000010413,,,,,,,,,,,NR_unclassified Synechococcus,NR_Synechococcus
day0_DO_0_env_cell_control_000000010568,day0-DO-0-env-cell-control_bin_57,1.7073400854935796,1.7085010057177636,0.5807,0.0011609202241840144,307.97902719999996,317.66397973425995,308.1884401250164,0.02138222761080784,F_Alkalispirochaetaceae (NCBI: F_Spirochaetaceae),,F_Alkalispirochaetaceae (NCBI: F_Spirochaetaceae)
day0_DO_0_env_cell_control_000000010861,day0-DO-0-env-cell-control_bin_57,1.7070638692625781,1.7080727955672061,0.5834,0.0010089263046280106,307.9803664,317.66397236811997,308.162392098373,0.018588423500173614,F_Alkalispirochaetaceae (NCBI: F_Spirochaetaceae),,F_Alkalispirochaetaceae (NCBI: F_Spirochaetaceae)
day0_DO_0_env_cell_control_000000011070,day0-DO-0-env-cell-control_bin_40,1.7001962465145666,1.69923535585612,0.4669,-0.0009608906584466226,307.92258239999995,317.66429020341997,307.7485554701326,-0.01766559710745615,G_Sabulitectum (NCBI: G_Candidatus Sabulitectum),,G_Sabulitectum (NCBI: G_Candidatus Sabulitectum)
day0_DO_0_env_cell_control_000000011435,day0-DO-0-env-cell-control_bin_57,1.7064832193553618,1.7082904573004485,0.584,0.0018072379450866372,307.980664,317.6639707312,308.30682855645193,0.033308880656140766,F_Alkalispirochaetaceae (NCBI: F_Spirochaetaceae),,F_Alkalispirochaetaceae (NCBI: F_Spirochaetaceae)
day0_DO_0_env_cell_control_000000011540,,,,,,,,,,,S_Synechococcus sp. WH 8101,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000011644,day0-DO-0-env-cell-control_bin_22,1.7076192071837664,1.7086387023420153,0.614,0.0010194951582489509,307.995544,317.6638888852,308.1794257252402,0.018807600782500683,G_JADHUC01 (NCBI: F_Pirellulaceae),,G_JADHUC01 (NCBI: F_Pirellulaceae)
day0_DO_0_env_cell_control_000000011849,day0-DO-0-env-cell-control_bin_22,1.7076397141293227,1.7086010302339367,0.6065,0.0009613161046140295,307.99182399999995,317.66390934669994,308.1652080563971,0.017727030872842293,G_JADHUC01 (NCBI: F_Pirellulaceae),,G_JADHUC01 (NCBI: F_Pirellulaceae)
day0_DO_0_env_cell_control_000000011920,,,,,,,,,,,NR_unclassified Synechococcus,NR_Synechococcus
day0_DO_0_env_cell_control_000000012121,day0-DO-0-env-cell-control_bin_57,1.7071292905357496,1.7078719163861376,0.5649000000000001,0.000742625850387979,307.97119039999995,317.66402283981995,308.10516230736147,0.013668158212651684,F_Alkalispirochaetaceae (NCBI: F_Spirochaetaceae),,F_Alkalispirochaetaceae (NCBI: F_Spirochaetaceae)
day0_DO_0_env_cell_control_000000012210,unbinned,1.704495578766243,1.7046809428255034,0.5426,0.00018536405926039556,307.96012959999996,317.66408367867996,307.99362029391796,0.003412890663612512,,ST_Pelodictyon luteolum DSM 273,ST_Pelodictyon luteolum DSM 273
day0_DO_0_env_cell_control_000000012278,,,,,,,,,,,NR_unclassified Synechococcus,NR_Synechococcus
day0_DO_0_env_cell_control_000000012647,,,,,,,,,,,S_Synechococcus sp. WH 8101,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000012792,,,,,,,,,,,ST_Desulfocapsa sulfexigens DSM 10523,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000012858,,,,,,,,,,,NR_unclassified Synechococcus,NR_Synechococcus
day0_DO_0_env_cell_control_000000012937,day0-DO-0-env-cell-control_bin_73,1.6971793273045879,1.6947234504749682,0.4374,-0.0024558768296196742,307.90795039999995,317.66437068531997,307.46239701098716,-0.045160237037390624,G_SpSt-1165 (NCBI: C_Anaerolineae),,G_SpSt-1165 (NCBI: C_Anaerolineae)
day0_DO_0_env_cell_control_000000012938,day0-DO-0-env-cell-control_bin_57,1.7056021532311085,1.7072754791789917,0.5501,0.0016733259478831641,307.96384959999995,317.66406321717994,308.2659856518157,0.030801240889572968,F_Alkalispirochaetaceae (NCBI: F_Spirochaetaceae),,F_Alkalispirochaetaceae (NCBI: F_Spirochaetaceae)
day0_DO_0_env_cell_control_000000013080,unbinned,1.7038435913059509,1.7050359654515133,0.5428000000000001,0.0011923741455623915,307.9602288,317.66408313304,308.1757437783444,0.02196241797029636,,S_Chlorobium phaeovibrioides,S_Chlorobium phaeovibrioides
day0_DO_0_env_cell_control_000000013919,day0-DO-0-env-cell-control_bin_61,1.6963900365139852,1.6965137631154519,0.4216,0.00012372660146664494,307.9001136,317.66441379088,307.9225703663255,0.002274327795461501,G_S5133MH16 (NCBI: C_Deltaproteobacteria),,G_S5133MH16 (NCBI: C_Deltaproteobacteria)
day0_DO_0_env_cell_control_000000014049,,,,,,,,,,,ST_Desulfocapsa sulfexigens DSM 10523,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000015138,day0-DO-0-env-cell-control_bin_61,1.698632285863339,1.6975577107721787,0.4437,-0.001074575091160268,307.91107519999997,317.66435349766,307.7162869727562,-0.019749633949101453,G_S5133MH16 (NCBI: C_Deltaproteobacteria),,G_S5133MH16 (NCBI: C_Deltaproteobacteria)
day0_DO_0_env_cell_control_000000015901,day0-DO-0-env-cell-control_bin_61,1.696502845039276,1.694141073782403,0.4081,-0.002361771256873091,307.89341759999996,317.66445062158,307.4647865334536,-0.04338005774317834,G_S5133MH16 (NCBI: C_Deltaproteobacteria),,G_S5133MH16 (NCBI: C_Deltaproteobacteria)
day0_DO_0_env_cell_control_000000016284,day0-DO-0-env-cell-control_bin_61,1.6979045792132115,1.6966598549744607,0.4426,-0.0012447242387507718,307.91052959999996,317.66435649868,307.6848021331848,-0.02288528503043787,G_S5133MH16 (NCBI: C_Deltaproteobacteria),,G_S5133MH16 (NCBI: C_Deltaproteobacteria)
day0_DO_0_env_cell_control_000000016311,day0-DO-0-env-cell-control_bin_30,1.7089719686637155,1.7094355961322596,0.6502,0.0004636274685441144,308.01349919999996,317.66379012435993,308.0970602656757,0.008562696004344962,S_Synechococcus_C sp004332415 (NCBI: G_Synechococcus),,S_Synechococcus_C sp004332415 (NCBI: G_Synechococcus)
day0_DO_0_env_cell_control_000000016404,,,,,,,,,,,NR_unclassified Synechococcus,NR_Synechococcus
day0_DO_0_env_cell_control_000000016515,,,,,,,,,,,ST_Desulfocapsa sulfexigens DSM 10523,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000017504,,,,,,,,,,,ST_Desulfocapsa sulfexigens DSM 10523,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000017929,,,,,,,,,,,O_Sphingomonadales,O_Sphingomonadales
day0_DO_0_env_cell_control_000000017949,,,,,,,,,,,NR_unclassified Synechococcus,NR_Synechococcus
day0_DO_0_env_cell_control_000000018081,day0-DO-0-env-cell-control_bin_57,1.707302349123205,1.7089788998015445,0.58,0.0016765506783393835,307.97868,317.663981644,308.2811114147598,0.03087882113221288,F_Alkalispirochaetaceae (NCBI: F_Spirochaetaceae),,F_Alkalispirochaetaceae (NCBI: F_Spirochaetaceae)
day0_DO_0_env_cell_control_000000018136,day0-DO-0-env-cell-control_bin_57,1.7072180904916026,1.708257938643833,0.5813,0.0010398481522304603,307.9793248,317.66397809733996,308.16691168980753,0.01915425949582496,F_Alkalispirochaetaceae (NCBI: F_Spirochaetaceae),,F_Alkalispirochaetaceae (NCBI: F_Spirochaetaceae)
day0_DO_0_env_cell_control_000000018380,day0-DO-0-env-cell-control_bin_57,1.7052609622411787,1.707480480272778,0.5604,0.0022195180315993657,307.96895839999996,317.66403511671996,308.3698018318717,0.04088561018757597,F_Alkalispirochaetaceae (NCBI: F_Spirochaetaceae),,F_Alkalispirochaetaceae (NCBI: F_Spirochaetaceae)
day0_DO_0_env_cell_control_000000018590,,,,,,,,,,,NR_unclassified Synechococcus,NR_Synechococcus
day0_DO_0_env_cell_control_000000018915,,,,,,,,,,,ST_Desulfocapsa sulfexigens DSM 10523,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000019019,day0-DO-0-env-cell-control_bin_57,1.7062504429372587,1.7079065123202124,0.5690999999999999,0.0016560693829537065,307.97327359999997,317.66401138137996,308.27218933730467,0.030502743305833184,F_Alkalispirochaetaceae (NCBI: F_Spirochaetaceae),,F_Alkalispirochaetaceae (NCBI: F_Spirochaetaceae)
day0_DO_0_env_cell_control_000000019923,unbinned,1.702997524653791,1.7042736361999786,0.521,0.0012761115461876749,307.949416,317.6641426078,308.18017253352997,0.023489316785973796,,S_Chlorobium phaeovibrioides,S_Chlorobium phaeovibrioides
day0_DO_0_env_cell_control_000000020070,unbinned,1.7042553336944242,1.7056848527155328,0.5453,0.0014295190211086606,307.9614688,317.66407631254,308.2197850092641,0.026327532467153594,,S_Chlorobium phaeovibrioides,S_Chlorobium phaeovibrioides
day0_DO_0_env_cell_control_000000021068,day0-DO-0-env-cell-control_bin_22,1.707897782310608,1.7084222196183905,0.6126,0.0005244373077823994,307.99484959999995,317.66389270467994,308.08942434060094,0.009672497460322654,G_JADHUC01 (NCBI: F_Pirellulaceae),,G_JADHUC01 (NCBI: F_Pirellulaceae)
day0_DO_0_env_cell_control_000000021215,,,,,,,,,,,NR_unclassified Synechococcus,NR_Synechococcus
day0_DO_0_env_cell_control_000000021300,day0-DO-0-env-cell-control_bin_57,1.7062867083881998,1.708107283949113,0.5550999999999999,0.0018205755609130847,307.9663296,317.66404957618,308.29492383360537,0.03350713227888537,F_Alkalispirochaetaceae (NCBI: F_Spirochaetaceae),,F_Alkalispirochaetaceae (NCBI: F_Spirochaetaceae)
day0_DO_0_env_cell_control_000000021376,,,,,,,,,,,NR_unclassified Synechococcus,NR_Synechococcus
day0_DO_0_env_cell_control_000000021448,day0-DO-0-env-cell-control_bin_61,1.702012255074671,1.701750250355612,0.4357,-0.0002620047190591279,307.9071072,317.66437532326,307.8597085312315,-0.004803799437246325,G_S5133MH16 (NCBI: C_Deltaproteobacteria),,G_S5133MH16 (NCBI: C_Deltaproteobacteria)
day0_DO_0_env_cell_control_000000021733,,,,,,,,,,,ST_Desulfocapsa sulfexigens DSM 10523,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000021808,,,,,,,,,,,S_Synechococcus sp. HK01-R,S_Synechococcus sp. HK01-R
day0_DO_0_env_cell_control_000000021858,,,,,,,,,,,O_Synechococcales,O_Synechococcales
day0_DO_0_env_cell_control_000000021919,,,,,,,,,,,NR_unclassified Synechococcus,NR_Synechococcus
day0_DO_0_env_cell_control_000000022507,day0-DO-0-env-cell-control_bin_19,1.6963566527621055,1.6942901937131754,0.3911,-0.0020664590489301027,307.8849856,317.66449700098,307.5099278469698,-0.03792520631166782,G_B137-G9 (NCBI: P_Candidatus Cloacimonetes),,G_B137-G9 (NCBI: P_Candidatus Cloacimonetes)
day0_DO_0_env_cell_control_000000022604,day0-DO-0-env-cell-control_bin_30,1.7086702982240214,1.7095272172732128,0.6197,0.0008569190491913847,307.99837119999995,317.66387333445994,308.1528361495432,0.01580347114154518,S_Synechococcus_C sp004332415 (NCBI: G_Synechococcus),S_Synechococcus sp. HK01-R,S_Synechococcus_C sp004332415 (NCBI: G_Synechococcus)
day0_DO_0_env_cell_control_000000022767,,,,,,,,,,,O_Synechococcales,O_Synechococcales
day0_DO_0_env_cell_control_000000022835,unbinned,1.7084080877596053,1.7089474660954458,0.5928,0.0005393783358405013,307.98502879999995,317.66394672303994,308.0822657854065,0.009934628715840513,,NR_unclassified Synechococcus,NR_Synechococcus
day0_DO_0_env_cell_control_000000023385,,,,,,,,,,,NR_unclassified Synechococcus,NR_Synechococcus
day0_DO_0_env_cell_control_000000023573,day0-DO-0-env-cell-control_bin_61,1.6958127301148431,1.6951656035477547,0.4093,-0.0006471265670884296,307.8940128,317.66444734774,307.7765196405302,-0.011891747101044375,G_S5133MH16 (NCBI: C_Deltaproteobacteria),,G_S5133MH16 (NCBI: C_Deltaproteobacteria)
day0_DO_0_env_cell_control_000000023793,day0-DO-0-env-cell-control_bin_59,1.6960498569049085,1.6930807362862792,0.37170000000000003,-0.002969120618629306,307.8753632,317.66454992805996,307.33639373213697,-0.054445816193131324,G_1-14-0-20-35-14 (NCBI: P_Candidatus Liptonbacteria),,G_1-14-0-20-35-14 (NCBI: P_Candidatus Liptonbacteria)
day0_DO_0_env_cell_control_000000023803,day0-DO-0-env-cell-control_bin_22,1.7077260401918397,1.7085997584147097,0.6156,0.000873718222869968,307.99633759999995,317.66388452007993,308.15391674700885,0.016118677966026593,G_JADHUC01 (NCBI: F_Pirellulaceae),,G_JADHUC01 (NCBI: F_Pirellulaceae)
day0_DO_0_env_cell_control_000000024047,,,,,,,,,,,NR_unclassified Synechococcus,NR_Synechococcus
day0_DO_0_env_cell_control_000000024627,day0-DO-0-env-cell-control_bin_57,1.7067184256488084,1.708085953392942,0.5693,0.001367527744133623,307.9733728,317.66401083574,308.22014000273776,0.02518152501907357,F_Alkalispirochaetaceae (NCBI: F_Spirochaetaceae),,F_Alkalispirochaetaceae (NCBI: F_Spirochaetaceae)
day0_DO_0_env_cell_control_000000024735,day0-DO-0-env-cell-control_bin_57,1.7054174739407786,1.7070989042848714,0.5567,0.001681430344092849,307.96712319999995,317.66404521105994,308.2707586874064,0.030964608081636525,F_Alkalispirochaetaceae (NCBI: F_Spirochaetaceae),,F_Alkalispirochaetaceae (NCBI: F_Spirochaetaceae)
day0_DO_0_env_cell_control_000000024874,day0-DO-0-env-cell-control_bin_61,1.6983701871207584,1.6979768879237986,0.4314,-0.0003932991969597399,307.90497439999996,317.66438705452,307.8336714649333,-0.007224880822064307,G_S5133MH16 (NCBI: C_Deltaproteobacteria),,G_S5133MH16 (NCBI: C_Deltaproteobacteria)
day0_DO_0_env_cell_control_000000025318,day0-DO-0-env-cell-control_bin_57,1.7040373929499106,1.7059623801634909,0.5233,0.0019249872135802537,307.95055679999996,317.66413633293996,308.2984370089129,0.035415826685152196,F_Alkalispirochaetaceae (NCBI: F_Spirochaetaceae),,F_Alkalispirochaetaceae (NCBI: F_Spirochaetaceae)
day0_DO_0_env_cell_control_000000025767,day0-DO-0-env-cell-control_bin_79,1.707911392923951,1.7090856691108194,0.6389,0.0011742761868682727,308.0078944,317.66382095302,308.2196655359382,0.021688013474551068,G_Synechococcus_C (NCBI: G_Synechococcus),O_Synechococcales,G_Synechococcus_C (NCBI: G_Synechococcus)
day0_DO_0_env_cell_control_000000026123,,,,,,,,,,,S_Synechococcus sp. WH 8101,S_Synechococcus sp. WH 8101
day0_DO_0_env_cell_control_000000027196,,,,,,,,,,,ST_Desulfocapsa sulfexigens DSM 10523,ST_Desulfocapsa sulfexigens DSM 10523
day0_DO_0_env_cell_control_000000027497,day0-DO-0-env-cell-control_bin_57,1.7072018751842417,1.7084094015923774,0.5996,0.0012075264081357062,307.9884016,317.66392817127996,308.2062458595087,0.022264783277835203,F_Alkalispirochaetaceae (NCBI: F_Spirochaetaceae),,F_Alkalispirochaetaceae (NCBI: F_Spirochaetaceae)
day0_DO_0_env_cell_control_000000027715,day0-DO-0-env-cell-control_bin_40,1.7001285214357282,1.6967251159140202,0.4545,-0.003403405521708036,307.916432,317.6643240331,307.3000289035985,-0.06253181915756195,G_Sabulitectum (NCBI: G_Candidatus Sabulitectum),,G_Sabulitectum (NCBI: G_Candidatus Sabulitectum)
day0_DO_0_env_cell_control_000000027825,day0-DO-0-env-cell-control_bin_61,1.6984896925080517,1.6961347971630385,0.40659999999999996,-0.002354895345013208,307.89267359999997,317.66445471388,307.4657913957555,-0.043199754824651,G_S5133MH16 (NCBI: C_Deltaproteobacteria),,G_S5133MH16 (NCBI: C_Deltaproteobacteria)
day0_DO_0_env_cell_control_000000027837,,,,,,,,,,,NR_unclassified Synechococcus,NR_Synechococcus
day0_DO_0_env_cell_control_000000027916,,,,,,,,,,,NR_unclassified Synechococcus,NR_Synechococcus
day0_DO_0_env_cell_control_000000027955,day0-DO-0-env-cell-control_bin_40,1.701406273953275,1.6989587770594263,0.4654,-0.0024474968938485997,307.92183839999996,317.66429429571997,307.4788884975754,-0.04496070617346028,G_Sabulitectum (NCBI: G_Candidatus Sabulitectum),,G_Sabulitectum (NCBI: G_Candidatus Sabulitectum)
day0_DO_0_env_cell_control_000000028917,,,,,,,,,,,S_Synechococcus sp. NB0720_010,S_Synechococcus sp. NB0720_010
day0_DO_0_env_cell_control_000000028918,,,,,,,,,,,NR_unclassified Synechococcus,NR_Synechococcus
day0_DO_0_env_cell_control_000000029177,day0-DO-0-env-cell-control_bin_57,1.705371054698288,1.7067371995282905,0.5417000000000001,0.0013661448300024137,307.9596832,317.66408613405997,308.20638466001,0.025139107849556672,F_Alkalispirochaetaceae (NCBI: F_Spirochaetaceae),,F_Alkalispirochaetaceae (NCBI: F_Spirochaetaceae)
day0_DO_0_env_cell_control_000000029419,,,,,,,,,,,NR_unclassified Synechococcus,NR_Synechococcus
day0_DO_0_env_cell_control_000000030414,day0-DO-0-env-cell-control_bin_101,1.7104941500259205,1.710187902465835,0.643,-0.0003062475600854597,308.009928,317.6638097674,307.9547817786986,-0.005648859143501417,G_Synechococcus_C (NCBI: G_Synechococcus),SK_Bacteria,G_Synechococcus_C (NCBI: G_Synechococcus)
day0_DO_0_env_cell_control_000000030627,day0-DO-0-env-cell-control_bin_61,1.6987635481691272,1.6974322344858135,0.4493,-0.0013313136833137396,307.9138528,317.66433821974,307.67254203844266,-0.02447357505496397,G_S5133MH16 (NCBI: C_Deltaproteobacteria),,G_S5133MH16 (NCBI: C_Deltaproteobacteria)
day0_DO_0_env_cell_control_000000030901,day0-DO-0-env-cell-control_bin_57,1.707566239031327,1.7085349900183526,0.5937,0.0009687509870255351,307.9854752,317.66394426766,308.16020413658214,0.01785275024080512,F_Alkalispirochaetaceae (NCBI: F_Spirochaetaceae),,F_Alkalispirochaetaceae (NCBI: F_Spirochaetaceae)
day0_DO_0_env_cell_control_000000031085,day0-DO-0-env-cell-control_bin_61,1.6993187082876329,1.6967381217275337,0.4481,-0.002580586560099185,307.91325759999995,317.66434149357997,307.4456603150624,-0.04742049136759541,G_S5133MH16 (NCBI: C_Deltaproteobacteria),,G_S5133MH16 (NCBI: C_Deltaproteobacteria)
day0_DO_0_env_cell_control_000000031095,day0-DO-0-env-cell-control_bin_22,1.7071770748150772,1.7085283289038373,0.6068,0.0013512540887601343,307.9919728,317.66390852824,308.2357526742092,0.024924784301014028,G_JADHUC01 (NCBI: F_Pirellulaceae),,G_JADHUC01 (NCBI: F_Pirellulaceae)
day0_DO_0_env_cell_control_000000031167,day0-DO-0-env-cell-control_bin_61,1.6959078981176365,1.696954995003131,0.42969999999999997,0.0010470968854945362,307.9041312,317.66439169246,308.0942390809576,0.01926130348611496,G_S5133MH16 (NCBI: C_Deltaproteobacteria),,G_S5133MH16 (NCBI: C_Deltaproteobacteria)
day0_DO_0_env_cell_control_000000031246,day0-DO-0-env-cell-control_bin_57,1.707465741685214,1.7081336848962463,0.5614,0.0006679432110323624,307.96945439999996,317.66403238851996,308.0899289145098,0.012288906447408522,F_Alkalispirochaetaceae (NCBI: F_Spirochaetaceae),,F_Alkalispirochaetaceae (NCBI: F_Spirochaetaceae)
day0_DO_0_env_cell_control_000000031860,day0-DO-0-env-cell-control_bin_57,1.7075104709623665,1.708606466564316,0.5792,0.0010959956019493955,307.97828319999996,317.66398382655996,308.1759644731888,0.020182801552867006,F_Alkalispirochaetaceae (NCBI: F_Spirochaetaceae),,F_Alkalispirochaetaceae (NCBI: F_Spirochaetaceae)
day0_DO_0_env_cell_control_000000032045,day0-DO-0-env-cell-control_bin_101,1.7089788700216997,1.70963548975668,0.6317,0.0006566197349802128,308.0043232,317.66384059605997,308.12266387735997,0.012115060401306098,G_Synechococcus_C (NCBI: G_Synechococcus),,G_Synechococcus_C (NCBI: G_Synechococcus)
day0_DO_0_env_cell_control_000000032098,,,,,,,,,,,NR_unclassified Synechococcus,NR_Synechococcus
day0_DO_0_env_cell_control_000000032163,day0-DO-0-env-cell-control_bin_19,1.6951374492613824,1.692010319055022,0.39280000000000004,-0.0031271302063604622,307.88582879999996,317.66449236304,307.3178518045237,-0.0574378537567273,G_B137-G9 (NCBI: P_Candidatus Cloacimonetes),,G_B137-G9 (NCBI: P_Candidatus Cloacimonetes)
day0_DO_0_env_cell_control_000000032173,,,,,,,,,,,NR_unclassified Synechococcus,NR_Synechococcus
day0_DO_0_env_cell_control_000000032405,unbinned,1.7106574841653,1.702296014345428,0.3983,-0.008361469819871958,307.88855679999995,317.66447735794,306.38363784375235,-0.15223075835797356,,S_Homo sapiens,S_Homo sapiens
day0_DO_0_env_cell_control_000000032987,unbinned,1.7025555976754763,1.7030132660869608,0.4988,0.0004576684114845353,307.9384048,317.66420317384,308.0211825258801,0.008416570992631968,,S_Chlorobium phaeovibrioides,S_Chlorobium phaeovibrioides
day0_DO_0_env_cell_control_000000033948,,,,,,,,,,,NR_unclassified Synechococcus,NR_Synechococcus
day0_DO_0_env_cell_control_000000034011,,,,,,,,,,,NR_unclassified Synechococcus,NR_Synechococcus
day0_DO_0_env_cell_control_000000034309,day0-DO-0-env-cell-control_bin_22,1.7080286266621736,1.7090725687269337,0.6174000000000001,0.001043942064760106,307.9972304,317.66387960931996,308.18547739985996,0.019257462751058673,G_JADHUC01 (NCBI: F_Pirellulaceae),,G_JADHUC01 (NCBI: F_Pirellulaceae)
